region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,positive_area_pct,positive_nuclei_pct,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression,relative_dir,file,source_image,image_path,roi_mask_path
1753,1535,569,387,797,1507,1328288,65370,4.92,98.18,32.46,22.08,45.46,3,3,9,high,.,DNMT3A_1838_block2.jpg,DNMT3A_1838_block2,DNMT3A 24例 染色圖及評分\DNMT3A_1838_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1838_block2_SegRefined.png
3930,2882,2384,999,547,2875,1301458,243049,18.68,99.76,60.66,25.42,13.92,3,3,9,high,.,DNMT3A_1874_block1.jpg,DNMT3A_1874_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1874_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1874_block1_SegRefined.png
1276,1257,549,300,427,1249,852632,51130,6.0,99.36,43.03,23.51,33.46,3,3,9,high,.,DNMT3A_1874_block2.jpg,DNMT3A_1874_block2,DNMT3A 24例 染色圖及評分\DNMT3A_1874_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1874_block2_SegRefined.png
583,427,390,105,88,427,307899,43439,14.11,100.0,66.9,18.01,15.09,3,3,9,high,.,DNMT3A_1882_block1.jpg,DNMT3A_1882_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1882_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1882_block1_SegRefined.png
1086,631,506,253,327,631,657046,44964,6.84,100.0,46.59,23.3,30.11,3,3,9,high,.,DNMT3A_1910_block1.jpg,DNMT3A_1910_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1910_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1910_block1_SegRefined.png
3178,1460,2065,497,616,1457,1345110,135752,10.09,99.79,64.98,15.64,19.38,3,3,9,high,.,DNMT3A_1910_block2.jpg,DNMT3A_1910_block2,DNMT3A 24例 染色圖及評分\DNMT3A_1910_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1910_block2_SegRefined.png
4089,2904,2418,1006,665,2900,1183594,206540,17.45,99.86,59.13,24.6,16.26,3,3,9,high,.,DNMT3A_1939_block1.jpg,DNMT3A_1939_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1939_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1939_block1_SegRefined.png
2948,1952,1691,644,613,1934,1290680,127239,9.86,99.08,57.36,21.85,20.79,3,3,9,high,.,DNMT3A_1939_block2.jpg,DNMT3A_1939_block2,DNMT3A 24例 染色圖及評分\DNMT3A_1939_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1939_block2_SegRefined.png
108,122,42,27,39,122,215331,11132,5.17,100.0,38.89,25.0,36.11,3,3,9,high,.,DNMT3A_1977_block1.jpg,DNMT3A_1977_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1977_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_1977_block1_SegRefined.png
1151,491,485,263,403,491,562010,38542,6.86,100.0,42.14,22.85,35.01,3,3,9,high,.,DNMT3A_2083_block1.jpg,DNMT3A_2083_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2083_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2083_block1_SegRefined.png
3477,2528,2290,731,456,2523,1128284,176667,15.66,99.8,65.86,21.02,13.11,3,3,9,high,.,DNMT3A_2091_block1.jpg,DNMT3A_2091_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2091_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2091_block1_SegRefined.png
1048,1384,182,188,678,1370,1164794,37563,3.22,98.99,17.37,17.94,64.69,3,3,9,high,.,DNMT3A_2104_block2.jpg,DNMT3A_2104_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2104_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2104_block2_SegRefined.png
0,1809,0,0,0,1774,1287165,0,0.0,98.07,0.0,0.0,0.0,2,3,6,high,.,DNMT3A_2174_block2.jpg,DNMT3A_2174_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2174_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2174_block2_SegRefined.png
1262,1219,319,263,680,1188,1158346,41980,3.62,97.46,25.28,20.84,53.88,3,3,9,high,.,DNMT3A_2252_block2.jpg,DNMT3A_2252_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2252_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2252_block2_SegRefined.png
904,867,169,138,597,867,1383227,38880,2.81,100.0,18.69,15.27,66.04,3,3,9,high,.,DNMT3A_2368_block2.jpg,DNMT3A_2368_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2368_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2368_block2_SegRefined.png
3001,1917,1743,695,563,1915,1159219,140819,12.15,99.9,58.08,23.16,18.76,3,3,9,high,.,DNMT3A_2392_block1.jpg,DNMT3A_2392_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2392_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2392_block1_SegRefined.png
46,170,0,0,46,170,227572,1313,0.58,100.0,0.0,0.0,100.0,3,3,9,high,.,DNMT3A_2407_block2.jpg,DNMT3A_2407_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2407_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2407_block2_SegRefined.png
4389,3040,2383,1214,792,3040,1408969,225068,15.97,100.0,54.29,27.66,18.05,3,3,9,high,.,DNMT3A_2428_block1.jpg,DNMT3A_2428_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2428_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2428_block1_SegRefined.png
3322,2426,1516,857,949,2403,1510365,112560,7.45,99.05,45.64,25.8,28.57,3,3,9,high,.,DNMT3A_2428_block2.jpg,DNMT3A_2428_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2428_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2428_block2_SegRefined.png
4199,2947,2459,1025,715,2943,1282070,226330,17.65,99.86,58.56,24.41,17.03,3,3,9,high,.,DNMT3A_2805_block1.jpg,DNMT3A_2805_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2805_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2805_block1_SegRefined.png
1544,1641,1101,245,198,1640,887501,164368,18.52,99.94,71.31,15.87,12.82,3,3,9,high,.,DNMT3A_2898_block1.jpg,DNMT3A_2898_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2898_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2898_block1_SegRefined.png
477,882,14,41,422,879,1010512,17195,1.7,99.66,2.94,8.6,88.47,3,3,9,high,.,DNMT3A_2898_block2.jpg,DNMT3A_2898_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2898_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_2898_block2_SegRefined.png
1615,1670,1277,186,152,1670,812412,124817,15.36,100.0,79.07,11.52,9.41,2,3,6,high,.,DNMT3A_3257_block1.jpg,DNMT3A_3257_block1,DNMT3A 24例 染色圖及評分\DNMT3A_3257_block1.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_3257_block1_SegRefined.png
1317,1513,344,306,667,1450,1255847,51705,4.12,95.84,26.12,23.23,50.65,3,3,9,high,.,DNMT3A_3257_block2.jpg,DNMT3A_3257_block2,DNMT3A 24例 染色圖及評分\DNMT3A_3257_block2.jpg,analysis_outputs\deepliif_prediction_images\DNMT3A_3257_block2_SegRefined.png
