relative_dir,source_image,region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,positive_area_pct,positive_nuclei_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression
.,DNMT3A_1838_block2,1753,1535,569,387,797,1507,1328288,65370,32.46,22.08,45.46,4.92,98.18,3,3,9,high
.,DNMT3A_1874_block1,3930,2882,2384,999,547,2875,1301458,243049,60.66,25.42,13.92,18.68,99.76,1,3,3,low
.,DNMT3A_1874_block2,1276,1257,549,300,427,1249,852632,51130,43.03,23.51,33.46,6.0,99.36,1,3,3,low
.,DNMT3A_1882_block1,583,427,390,105,88,427,307899,43439,66.9,18.01,15.09,14.11,100.0,1,3,3,low
.,DNMT3A_1910_block1,1086,631,506,253,327,631,657046,44964,46.59,23.3,30.11,6.84,100.0,1,3,3,low
.,DNMT3A_1910_block2,3178,1460,2065,497,616,1457,1345110,135752,64.98,15.64,19.38,10.09,99.79,1,3,3,low
.,DNMT3A_1939_block1,4089,2904,2418,1006,665,2900,1183594,206540,59.13,24.6,16.26,17.45,99.86,1,3,3,low
.,DNMT3A_1939_block2,2948,1952,1691,644,613,1934,1290680,127239,57.36,21.85,20.79,9.86,99.08,1,3,3,low
.,DNMT3A_1977_block1,108,122,42,27,39,122,215331,11132,38.89,25.0,36.11,5.17,100.0,1,3,3,low
.,DNMT3A_2083_block1,1151,491,485,263,403,491,562010,38542,42.14,22.85,35.01,6.86,100.0,1,3,3,low
.,DNMT3A_2091_block1,3477,2528,2290,731,456,2523,1128284,176667,65.86,21.02,13.11,15.66,99.8,1,3,3,low
.,DNMT3A_2104_block2,1048,1384,182,188,678,1370,1164794,37563,17.37,17.94,64.69,3.22,98.99,3,3,9,high
.,DNMT3A_2174_block2,0,1809,0,0,0,1774,1287165,0,0.0,0.0,0.0,0.0,98.07,1,3,3,low
.,DNMT3A_2252_block2,1262,1219,319,263,680,1188,1158346,41980,25.28,20.84,53.88,3.62,97.46,3,3,9,high
.,DNMT3A_2368_block2,904,867,169,138,597,867,1383227,38880,18.69,15.27,66.04,2.81,100.0,3,3,9,high
.,DNMT3A_2392_block1,3001,1917,1743,695,563,1915,1159219,140819,58.08,23.16,18.76,12.15,99.9,1,3,3,low
.,DNMT3A_2407_block2,46,170,0,0,46,170,227572,1313,0.0,0.0,100.0,0.58,100.0,3,3,9,high
.,DNMT3A_2428_block1,4389,3040,2383,1214,792,3040,1408969,225068,54.29,27.66,18.05,15.97,100.0,1,3,3,low
.,DNMT3A_2428_block2,3322,2426,1516,857,949,2403,1510365,112560,45.64,25.8,28.57,7.45,99.05,1,3,3,low
.,DNMT3A_2805_block1,4199,2947,2459,1025,715,2943,1282070,226330,58.56,24.41,17.03,17.65,99.86,1,3,3,low
.,DNMT3A_2898_block1,1544,1641,1101,245,198,1640,887501,164368,71.31,15.87,12.82,18.52,99.94,1,3,3,low
.,DNMT3A_2898_block2,477,882,14,41,422,879,1010512,17195,2.94,8.6,88.47,1.7,99.66,3,3,9,high
.,DNMT3A_3257_block1,1615,1670,1277,186,152,1670,812412,124817,79.07,11.52,9.41,15.36,100.0,1,3,3,low
.,DNMT3A_3257_block2,1317,1513,344,306,667,1450,1255847,51705,26.12,23.23,50.65,4.12,95.84,3,3,9,high
