relative_dir,source_image,fullslide_pred_expression,cancer_mask_pred_expression,fullslide_pred_intensity_score,cancer_mask_pred_intensity_score,delta_pred_intensity_score,fullslide_pred_percent_score,cancer_mask_pred_percent_score,delta_pred_percent_score,fullslide_pred_final_score,cancer_mask_pred_final_score,delta_pred_final_score,fullslide_positive_nuclei_pct,cancer_mask_positive_nuclei_pct,delta_positive_nuclei_pct,fullslide_positive_area_pct,cancer_mask_positive_area_pct,delta_positive_area_pct,fullslide_weak_1plus_pct,cancer_mask_weak_1plus_pct,delta_weak_1plus_pct,fullslide_medium_2plus_pct,cancer_mask_medium_2plus_pct,delta_medium_2plus_pct,fullslide_strong_3plus_pct,cancer_mask_strong_3plus_pct,delta_strong_3plus_pct,fullslide_region_count,cancer_mask_region_count,delta_region_count,fullslide_nuclei_count,cancer_mask_nuclei_count,delta_nuclei_count
.,DNMT3A_1838_block2,low,high,1,3,2,3,3,0,3,9,6,92.1,98.18,6.0800000000000125,10.83,4.92,-5.91,52.5,32.46,-20.04,19.97,22.08,2.1099999999999994,27.53,45.46,17.93,3505,1753,-1752,3682,1535,-2147
.,DNMT3A_1874_block1,low,low,1,1,0,3,3,0,3,3,0,99.36,99.76,0.4000000000000057,28.46,18.68,-9.780000000000001,91.46,60.66,-30.799999999999997,6.78,25.42,18.64,1.76,13.92,12.16,2845,3930,1085,4090,2882,-1208
.,DNMT3A_1874_block2,low,low,1,1,0,3,3,0,3,3,0,96.79,99.36,2.569999999999993,13.2,6.0,-7.199999999999999,65.02,43.03,-21.989999999999995,21.12,23.51,2.3900000000000006,13.86,33.46,19.6,1941,1276,-665,2835,1257,-1578
.,DNMT3A_1882_block1,low,low,1,1,0,3,3,0,3,3,0,99.61,100.0,0.39000000000000057,17.59,14.11,-3.4800000000000004,81.73,66.9,-14.829999999999998,8.77,18.01,9.240000000000002,9.5,15.09,5.59,832,583,-249,1028,427,-601
.,DNMT3A_1910_block1,low,low,1,1,0,3,3,0,3,3,0,99.64,100.0,0.35999999999999943,15.16,6.84,-8.32,76.72,46.59,-30.129999999999995,13.28,23.3,10.020000000000001,10.0,30.11,20.11,2079,1086,-993,2531,631,-1900
.,DNMT3A_1910_block2,low,low,1,1,0,3,3,0,3,3,0,95.36,99.79,4.430000000000007,18.69,10.09,-8.600000000000001,81.72,64.98,-16.739999999999995,10.32,15.64,5.32,7.97,19.38,11.41,3451,3178,-273,4350,1460,-2890
.,DNMT3A_1939_block1,low,low,1,1,0,3,3,0,3,3,0,99.66,99.86,0.20000000000000284,28.31,17.45,-10.86,90.97,59.13,-31.839999999999996,6.6,24.6,18.0,2.42,16.26,13.840000000000002,3180,4089,909,2613,2904,291
.,DNMT3A_1939_block2,low,low,1,1,0,3,3,0,3,3,0,94.97,99.08,4.109999999999999,18.33,9.86,-8.469999999999999,67.81,57.36,-10.450000000000003,18.71,21.85,3.1400000000000006,13.47,20.79,7.3199999999999985,3607,2948,-659,3973,1952,-2021
.,DNMT3A_1977_block1,low,low,1,1,0,3,3,0,3,3,0,98.85,100.0,1.1500000000000057,5.9,5.17,-0.7300000000000004,68.16,38.89,-29.269999999999996,15.42,25.0,9.58,16.42,36.11,19.689999999999998,201,108,-93,434,122,-312
.,DNMT3A_2083_block1,low,low,1,1,0,3,3,0,3,3,0,100.0,100.0,0.0,18.69,6.86,-11.830000000000002,80.89,42.14,-38.75,11.81,22.85,11.040000000000001,7.3,35.01,27.709999999999997,3056,1151,-1905,2532,491,-2041
.,DNMT3A_2091_block1,low,low,1,1,0,3,3,0,3,3,0,99.4,99.8,0.3999999999999915,26.37,15.66,-10.71,87.28,65.86,-21.42,10.93,21.02,10.09,1.79,13.11,11.32,3192,3477,285,4162,2528,-1634
.,DNMT3A_2104_block2,high,high,3,3,0,3,3,0,9,9,0,89.09,98.99,9.899999999999991,0.0,3.22,3.22,0.0,17.37,17.37,0.0,17.94,17.94,100.0,64.69,-35.31,3,1048,1045,3420,1384,-2036
.,DNMT3A_2174_block2,high,low,3,1,-2,3,3,0,9,3,-6,82.65,98.07,15.419999999999987,0.14,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0,233,0,-233,5809,1809,-4000
.,DNMT3A_2252_block2,low,high,1,3,2,3,3,0,3,9,6,85.67,97.46,11.789999999999992,10.26,3.62,-6.64,57.54,25.28,-32.26,17.66,20.84,3.1799999999999997,24.8,53.88,29.080000000000002,3278,1262,-2016,4299,1219,-3080
.,DNMT3A_2368_block2,high,high,3,3,0,3,3,0,9,9,0,99.45,100.0,0.5499999999999972,4.9,2.81,-2.0900000000000003,27.59,18.69,-8.899999999999999,26.04,15.27,-10.77,46.36,66.04,19.680000000000007,2131,904,-1227,3288,867,-2421
.,DNMT3A_2392_block1,low,low,1,1,0,3,3,0,3,3,0,99.39,99.9,0.5100000000000051,20.13,12.15,-7.979999999999999,77.41,58.08,-19.33,15.11,23.16,8.05,7.48,18.76,11.280000000000001,3103,3001,-102,3617,1917,-1700
.,DNMT3A_2407_block2,low,high,1,3,2,3,3,0,3,9,6,98.88,100.0,1.1200000000000045,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,46,46,626,170,-456
.,DNMT3A_2428_block1,low,low,1,1,0,3,3,0,3,3,0,99.98,100.0,0.01999999999999602,27.74,15.97,-11.769999999999998,90.54,54.29,-36.25000000000001,4.26,27.66,23.4,5.2,18.05,12.850000000000001,4926,4389,-537,4605,3040,-1565
.,DNMT3A_2428_block2,low,low,1,1,0,3,3,0,3,3,0,96.06,99.05,2.989999999999995,17.53,7.45,-10.080000000000002,67.46,45.64,-21.819999999999993,18.53,25.8,7.27,14.01,28.57,14.56,5660,3322,-2338,6018,2426,-3592
.,DNMT3A_2805_block1,low,low,1,1,0,3,3,0,3,3,0,99.77,99.86,0.09000000000000341,28.7,17.65,-11.05,86.98,58.56,-28.42,8.39,24.41,16.02,4.63,17.03,12.400000000000002,3647,4199,552,3979,2947,-1032
.,DNMT3A_2898_block1,low,low,1,1,0,3,3,0,3,3,0,99.41,99.94,0.5300000000000011,25.77,18.52,-7.25,83.78,71.31,-12.469999999999999,11.16,15.87,4.709999999999999,5.05,12.82,7.7700000000000005,2374,1544,-830,3196,1641,-1555
.,DNMT3A_2898_block2,high,high,3,3,0,3,3,0,9,9,0,80.21,99.66,19.450000000000003,3.58,1.7,-1.8800000000000001,9.23,2.94,-6.290000000000001,20.46,8.6,-11.860000000000001,70.3,88.47,18.17,953,477,-476,2355,882,-1473
.,DNMT3A_3257_block1,low,low,1,1,0,3,3,0,3,3,0,99.08,100.0,0.9200000000000017,17.21,15.36,-1.8500000000000014,94.02,79.07,-14.950000000000003,4.22,11.52,7.3,1.77,9.41,7.640000000000001,1755,1615,-140,2615,1670,-945
.,DNMT3A_3257_block2,high,high,3,3,0,3,3,0,9,9,0,91.15,95.84,4.689999999999998,10.86,4.12,-6.739999999999999,37.7,26.12,-11.580000000000002,21.17,23.23,2.0599999999999987,41.13,50.65,9.519999999999996,2947,1317,-1630,3491,1513,-1978
