relative_dir,source_image,fullslide_pred_expression,cancer_mask_pred_expression,fullslide_pred_intensity_score,cancer_mask_pred_intensity_score,delta_pred_intensity_score,fullslide_pred_percent_score,cancer_mask_pred_percent_score,delta_pred_percent_score,fullslide_pred_final_score,cancer_mask_pred_final_score,delta_pred_final_score,fullslide_positive_nuclei_pct,cancer_mask_positive_nuclei_pct,delta_positive_nuclei_pct,fullslide_positive_area_pct,cancer_mask_positive_area_pct,delta_positive_area_pct,fullslide_weak_1plus_pct,cancer_mask_weak_1plus_pct,delta_weak_1plus_pct,fullslide_medium_2plus_pct,cancer_mask_medium_2plus_pct,delta_medium_2plus_pct,fullslide_strong_3plus_pct,cancer_mask_strong_3plus_pct,delta_strong_3plus_pct,fullslide_region_count,cancer_mask_region_count,delta_region_count,fullslide_nuclei_count,cancer_mask_nuclei_count,delta_nuclei_count
.,DNMT3A_1874_block1,low,high,1,3,2,3,3,0,3,9,6,99.36,99.68,0.3200000000000074,28.46,18.55,-9.91,91.46,60.43,-31.029999999999994,6.78,25.81,19.029999999999998,1.76,13.76,12.0,2845,3932,1087,4090,2850,-1240
.,DNMT3A_1882_block1,high,high,2,3,1,3,3,0,6,9,3,99.61,100.0,0.39000000000000057,17.59,14.05,-3.539999999999999,81.73,66.67,-15.060000000000002,8.77,18.35,9.580000000000002,9.5,14.98,5.48,832,594,-238,1028,418,-610
.,DNMT3A_1910_block1,high,high,2,3,1,3,3,0,6,9,3,99.64,99.67,0.030000000000001137,15.16,6.55,-8.61,76.72,43.74,-32.98,13.28,23.78,10.500000000000002,10.0,32.47,22.47,2079,1047,-1032,2531,606,-1925
.,DNMT3A_1910_block2,high,high,2,3,1,3,3,0,6,9,3,95.36,99.54,4.180000000000007,18.69,10.08,-8.610000000000001,81.72,65.39,-16.33,10.32,15.58,5.26,7.97,19.03,11.060000000000002,3451,3184,-267,4350,1526,-2824
.,DNMT3A_1939_block1,low,high,1,3,2,3,3,0,3,9,6,99.66,99.75,0.09000000000000341,28.31,17.32,-10.989999999999998,90.97,59.85,-31.119999999999997,6.6,24.35,17.75,2.42,15.8,13.38,3180,4107,927,2613,2849,236
.,DNMT3A_2083_block1,high,high,2,3,1,3,3,0,6,9,3,100.0,100.0,0.0,18.69,7.11,-11.580000000000002,80.89,45.09,-35.8,11.81,22.5,10.69,7.3,32.41,25.109999999999996,3056,1191,-1865,2532,473,-2059
.,DNMT3A_2091_block1,high,high,2,3,1,3,3,0,6,9,3,99.4,99.79,0.39000000000000057,26.37,14.92,-11.450000000000001,87.28,63.57,-23.71,10.93,21.81,10.879999999999999,1.79,14.62,12.829999999999998,3192,3393,201,4162,2431,-1731
.,DNMT3A_2174_block2,high,low,3,1,-2,3,3,0,9,3,-6,82.65,97.58,14.929999999999993,0.14,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0,233,0,-233,5809,1732,-4077
.,DNMT3A_2392_block1,high,high,2,3,1,3,3,0,6,9,3,99.39,99.89,0.5,20.13,11.23,-8.899999999999999,77.41,54.6,-22.809999999999995,15.11,23.55,8.440000000000001,7.48,21.85,14.370000000000001,3103,2824,-279,3617,1867,-1750
.,DNMT3A_2428_block1,low,high,1,3,2,3,3,0,3,9,6,99.98,100.0,0.01999999999999602,27.74,15.86,-11.879999999999999,90.54,54.84,-35.7,4.26,27.33,23.07,5.2,17.83,12.629999999999999,4926,4409,-517,4605,2999,-1606
.,DNMT3A_2805_block1,high,high,2,3,1,3,3,0,6,9,3,99.77,99.83,0.060000000000002274,28.7,17.52,-11.18,86.98,58.88,-28.1,8.39,24.03,15.64,4.63,17.08,12.45,3647,4215,568,3979,2921,-1058
.,DNMT3A_2898_block1,high,high,2,3,1,3,3,0,6,9,3,99.41,99.88,0.46999999999999886,25.77,18.57,-7.199999999999999,83.78,72.5,-11.280000000000001,11.16,15.34,4.18,5.05,12.16,7.11,2374,1571,-803,3196,1675,-1521
