region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,positive_area_pct,positive_nuclei_pct,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression,relative_dir,file,source_image,image_path,roi_mask_path
3505,3682,1840,700,965,3391,4089425,442939,10.83,92.1,52.5,19.97,27.53,3,3,9,high,.,DNMT3A_1838_block2.jpg,DNMT3A_1838_block2,DNMT3A 24例 染色圖及評分\DNMT3A_1838_block2.jpg,
2845,4090,2602,193,50,4064,4399015,1252035,28.46,99.36,91.46,6.78,1.76,1,3,3,low,.,DNMT3A_1874_block1.jpg,DNMT3A_1874_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1874_block1.jpg,
1941,2835,1262,410,269,2744,2559309,337867,13.2,96.79,65.02,21.12,13.86,3,3,9,high,.,DNMT3A_1874_block2.jpg,DNMT3A_1874_block2,DNMT3A 24例 染色圖及評分\DNMT3A_1874_block2.jpg,
832,1028,680,73,79,1024,1257210,221133,17.59,99.61,81.73,8.77,9.5,2,3,6,high,.,DNMT3A_1882_block1.jpg,DNMT3A_1882_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1882_block1.jpg,
2079,2531,1595,276,208,2522,2600271,394131,15.16,99.64,76.72,13.28,10.0,2,3,6,high,.,DNMT3A_1910_block1.jpg,DNMT3A_1910_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1910_block1.jpg,
3451,4350,2820,356,275,4148,4038809,754848,18.69,95.36,81.72,10.32,7.97,2,3,6,high,.,DNMT3A_1910_block2.jpg,DNMT3A_1910_block2,DNMT3A 24例 染色圖及評分\DNMT3A_1910_block2.jpg,
3180,2613,2893,210,77,2604,4102620,1161427,28.31,99.66,90.97,6.6,2.42,1,3,3,low,.,DNMT3A_1939_block1.jpg,DNMT3A_1939_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1939_block1.jpg,
3607,3973,2446,675,486,3773,4208346,771452,18.33,94.97,67.81,18.71,13.47,3,3,9,high,.,DNMT3A_1939_block2.jpg,DNMT3A_1939_block2,DNMT3A 24例 染色圖及評分\DNMT3A_1939_block2.jpg,
201,434,137,31,33,429,943198,55646,5.9,98.85,68.16,15.42,16.42,3,3,9,high,.,DNMT3A_1977_block1.jpg,DNMT3A_1977_block1,DNMT3A 24例 染色圖及評分\DNMT3A_1977_block1.jpg,
3056,2532,2472,361,223,2532,2203269,411781,18.69,100.0,80.89,11.81,7.3,2,3,6,high,.,DNMT3A_2083_block1.jpg,DNMT3A_2083_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2083_block1.jpg,
3192,4162,2786,349,57,4137,4071320,1073559,26.37,99.4,87.28,10.93,1.79,2,3,6,high,.,DNMT3A_2091_block1.jpg,DNMT3A_2091_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2091_block1.jpg,
3,3420,0,0,3,3047,3999381,53,0.0,89.09,0.0,0.0,100.0,3,3,9,high,.,DNMT3A_2104_block2.jpg,DNMT3A_2104_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2104_block2.jpg,
233,5809,0,0,233,4801,3829343,5175,0.14,82.65,0.0,0.0,100.0,3,3,9,high,.,DNMT3A_2174_block2.jpg,DNMT3A_2174_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2174_block2.jpg,
3278,4299,1886,579,813,3683,3627628,372119,10.26,85.67,57.54,17.66,24.8,3,3,9,high,.,DNMT3A_2252_block2.jpg,DNMT3A_2252_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2252_block2.jpg,
2131,3288,588,555,988,3270,4933424,241579,4.9,99.45,27.59,26.04,46.36,3,3,9,high,.,DNMT3A_2368_block2.jpg,DNMT3A_2368_block2,DNMT3A 24例 染色圖及評分\DNMT3A_2368_block2.jpg,
3103,3617,2402,469,232,3595,4594096,924692,20.13,99.39,77.41,15.11,7.48,2,3,6,high,.,DNMT3A_2392_block1.jpg,DNMT3A_2392_block1,DNMT3A 24例 染色圖及評分\DNMT3A_2392_block1.jpg,
