relative_dir,source_image,region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,positive_area_pct,positive_nuclei_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression
.,DNMT3A_1838_block2,3505,3682,1840,700,965,3391,4089425,442939,52.5,19.97,27.53,10.83,92.1,1,3,3,low
.,DNMT3A_1874_block1,2845,4090,2602,193,50,4064,4399015,1252035,91.46,6.78,1.76,28.46,99.36,1,3,3,low
.,DNMT3A_1874_block2,1941,2835,1262,410,269,2744,2559309,337867,65.02,21.12,13.86,13.2,96.79,1,3,3,low
.,DNMT3A_1882_block1,832,1028,680,73,79,1024,1257210,221133,81.73,8.77,9.5,17.59,99.61,1,3,3,low
.,DNMT3A_1910_block1,2079,2531,1595,276,208,2522,2600271,394131,76.72,13.28,10.0,15.16,99.64,1,3,3,low
.,DNMT3A_1910_block2,3451,4350,2820,356,275,4148,4038809,754848,81.72,10.32,7.97,18.69,95.36,1,3,3,low
.,DNMT3A_1939_block1,3180,2613,2893,210,77,2604,4102620,1161427,90.97,6.6,2.42,28.31,99.66,1,3,3,low
.,DNMT3A_1939_block2,3607,3973,2446,675,486,3773,4208346,771452,67.81,18.71,13.47,18.33,94.97,1,3,3,low
.,DNMT3A_1977_block1,201,434,137,31,33,429,943198,55646,68.16,15.42,16.42,5.9,98.85,1,3,3,low
.,DNMT3A_2083_block1,3056,2532,2472,361,223,2532,2203269,411781,80.89,11.81,7.3,18.69,100.0,1,3,3,low
.,DNMT3A_2091_block1,3192,4162,2786,349,57,4137,4071320,1073559,87.28,10.93,1.79,26.37,99.4,1,3,3,low
.,DNMT3A_2104_block2,3,3420,0,0,3,3047,3999381,53,0.0,0.0,100.0,0.0,89.09,3,3,9,high
.,DNMT3A_2174_block2,233,5809,0,0,233,4801,3829343,5175,0.0,0.0,100.0,0.14,82.65,3,3,9,high
.,DNMT3A_2252_block2,3278,4299,1886,579,813,3683,3627628,372119,57.54,17.66,24.8,10.26,85.67,1,3,3,low
.,DNMT3A_2368_block2,2131,3288,588,555,988,3270,4933424,241579,27.59,26.04,46.36,4.9,99.45,3,3,9,high
.,DNMT3A_2392_block1,3103,3617,2402,469,232,3595,4594096,924692,77.41,15.11,7.48,20.13,99.39,1,3,3,low
.,DNMT3A_2407_block2,0,626,0,0,0,619,797545,0,0.0,0.0,0.0,0.0,98.88,1,3,3,low
.,DNMT3A_2428_block1,4926,4605,4460,210,256,4604,4444518,1232804,90.54,4.26,5.2,27.74,99.98,1,3,3,low
.,DNMT3A_2428_block2,5660,6018,3818,1049,793,5781,4844022,849205,67.46,18.53,14.01,17.53,96.06,1,3,3,low
.,DNMT3A_2805_block1,3647,3979,3172,306,169,3970,4527121,1299173,86.98,8.39,4.63,28.7,99.77,1,3,3,low
.,DNMT3A_2898_block1,2374,3196,1989,265,120,3177,3572787,920780,83.78,11.16,5.05,25.77,99.41,1,3,3,low
.,DNMT3A_2898_block2,953,2355,88,195,670,1889,3276123,117167,9.23,20.46,70.3,3.58,80.21,3,3,9,high
.,DNMT3A_3257_block1,1755,2615,1650,74,31,2591,3283385,565133,94.02,4.22,1.77,17.21,99.08,1,3,3,low
.,DNMT3A_3257_block2,2947,3491,1111,624,1212,3182,4245714,460880,37.7,21.17,41.13,10.86,91.15,3,3,9,high
