region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,positive_area_pct,positive_nuclei_pct,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression,relative_dir,file,source_image,image_path
55,66,37,15,3,66,61884,16801,27.15,100.0,67.27,27.27,5.45,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1024_y1280.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1024_y1280.jpg
57,61,49,8,0,61,60390,16552,27.41,100.0,85.96,14.04,0.0,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1024_y1792.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1024_y1792.jpg
58,53,46,9,3,53,61174,16583,27.11,100.0,79.31,15.52,5.17,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1024_y2048.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1024_y2048.jpg
62,72,48,12,2,72,61066,17144,28.07,100.0,77.42,19.35,3.23,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1024_y2304.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1024_y2304.jpg
32,68,30,2,0,66,59847,17000,28.41,97.06,93.75,6.25,0.0,1,3,3,low,0,DNMT3A_1874_block1.jpg_x1280_y1536.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1280_y1536.jpg
65,76,58,6,1,76,61111,16735,27.38,100.0,89.23,9.23,1.54,1,3,3,low,0,DNMT3A_1874_block1.jpg_x1280_y2304.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1280_y2304.jpg
54,62,47,7,0,62,60992,16378,26.85,100.0,87.04,12.96,0.0,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1280_y2560.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1280_y2560.jpg
39,72,17,17,5,72,62250,17430,28.0,100.0,43.59,43.59,12.82,3,3,9,high,0,DNMT3A_1874_block1.jpg_x1536_y1024.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1536_y1024.jpg
43,50,29,13,1,50,59528,16719,28.09,100.0,67.44,30.23,2.33,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1536_y1280.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1536_y1280.jpg
53,69,50,2,1,68,61556,17047,27.69,98.55,94.34,3.77,1.89,1,3,3,low,0,DNMT3A_1874_block1.jpg_x1536_y2304.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1536_y2304.jpg
