relative_dir,source_image,region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,positive_area_pct,positive_nuclei_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression
0,DNMT3A_1874_block1.jpg,1163,1329,902,217,44,1325,1290449,354682,77.56,18.66,3.78,27.49,99.7,1,3,3,low
0,DNMT3A_1882_block1.jpg,490,615,320,91,79,614,929245,168656,65.31,18.57,16.12,18.15,99.84,1,3,3,low
0,DNMT3A_1939_block1.jpg,3810,2897,3112,534,164,2894,4402615,1121395,81.68,14.02,4.3,25.47,99.9,1,3,3,low
0,DNMT3A_2083_block1.jpg,3156,2662,2321,481,354,2662,2759718,437275,73.54,15.24,11.22,15.84,100.0,1,3,3,low
0,DNMT3A_2091_block1.jpg,362,335,267,71,24,335,310368,90035,73.76,19.61,6.63,29.01,100.0,1,3,3,low
0,DNMT3A_2428_block1.jpg,5760,5122,4402,911,447,5122,4376486,1156949,76.42,15.82,7.76,26.44,100.0,1,3,3,low
0,DNMT3A_2805_block1.jpg,313,284,210,81,22,284,308408,88468,67.09,25.88,7.03,28.69,100.0,1,3,3,low
0,DNMT3A_2898_block1.jpg,346,180,80,164,102,180,298504,82999,23.12,47.4,29.48,27.8,100.0,2,3,6,high
0,DNMT3A_3257_block1.jpg,2009,2389,1708,212,89,2385,2866366,649248,85.02,10.55,4.43,22.65,99.83,1,3,3,low
1,DNMT3A_1838_block2.jpg,2630,2736,1421,588,621,2653,2484637,334886,54.03,22.36,23.61,13.48,96.97,1,3,3,low
1,DNMT3A_1874_block1.jpg,3723,4491,3154,447,122,4479,4620571,1191440,84.72,12.01,3.28,25.79,99.73,1,3,3,low
1,DNMT3A_1874_block2.jpg,1525,1855,976,372,177,1841,1666066,277456,64.0,24.39,11.61,16.65,99.25,1,3,3,low
1,DNMT3A_1910_block1.jpg,2083,2376,1488,331,264,2371,2757392,390016,71.44,15.89,12.67,14.14,99.79,1,3,3,low
1,DNMT3A_1910_block2.jpg,3448,4068,2767,390,291,3959,3635331,700877,80.25,11.31,8.44,19.28,97.32,1,3,3,low
1,DNMT3A_1939_block2.jpg,3732,4218,2436,792,504,4109,4132753,774245,65.27,21.22,13.5,18.73,97.42,1,3,3,low
1,DNMT3A_1977_block1.jpg,71,104,45,11,15,103,253313,38198,63.38,15.49,21.13,15.08,99.04,1,3,3,low
1,DNMT3A_2091_block1.jpg,3849,4327,3029,625,195,4324,4186189,1018431,78.7,16.24,5.07,24.33,99.93,1,3,3,low
1,DNMT3A_2104_block2.jpg,1016,2518,501,201,314,2466,2492797,114842,49.31,19.78,30.91,4.61,97.93,1,3,3,low
1,DNMT3A_2174_block2.jpg,43,5450,0,0,43,5106,3334964,846,0.0,0.0,100.0,0.03,93.69,3,3,9,high
1,DNMT3A_2252_block2.jpg,3176,4202,1869,583,724,3930,3593511,392964,58.85,18.36,22.8,10.94,93.53,1,3,3,low
1,DNMT3A_2368_block2.jpg,994,1248,574,210,210,1240,1288960,134489,57.75,21.13,21.13,10.43,99.36,1,3,3,low
1,DNMT3A_2392_block1.jpg,3454,3689,2529,607,318,3687,4404975,930927,73.22,17.57,9.21,21.13,99.95,1,3,3,low
1,DNMT3A_2407_block2.jpg,180,507,48,20,112,504,569676,19323,26.67,11.11,62.22,3.39,99.41,3,3,9,high
1,DNMT3A_2428_block2.jpg,5692,6275,3810,1152,730,6129,4444564,795445,66.94,20.24,12.83,17.9,97.67,1,3,3,low
1,DNMT3A_2805_block1.jpg,4542,4450,3592,664,286,4448,4747058,1261273,79.08,14.62,6.3,26.57,99.96,1,3,3,low
1,DNMT3A_2898_block1.jpg,2575,2884,1571,619,385,2880,3463768,649663,61.01,24.04,14.95,18.76,99.86,1,3,3,low
1,DNMT3A_2898_block2.jpg,307,642,168,66,73,591,662987,42619,54.72,21.5,23.78,6.43,92.06,1,3,3,low
1,DNMT3A_3257_block2.jpg,2246,2901,898,523,825,2711,3259718,353666,39.98,23.29,36.73,10.85,93.45,1,3,3,low
